N = 153, комбинаций: 6
N = 244, комбинаций: 6
N = 371, комбинаций: 6
N = 540, комбинаций: 6
N = 757, комбинаций: 6
N = 1028, комбинаций: 6
N = 1359, комбинаций: 6
N = 1756, комбинаций: 12
N = 2225, комбинаций: 6
N = 2772, комбинаций: 6
N = 3403, комбинаций: 6
N = 4124, комбинаций: 6
N = 5860, комбинаций: 6
N = 6887, комбинаций: 6
N = 8028, комбинаций: 6
N = 9289, комбинаций: 6
N = 10676, комбинаций: 6
N = 12195, комбинаций: 12
N = 13852, комбинаций: 6
N = 15653, комбинаций: 6
N = 17604, комбинаций: 18
N = 19711, комбинаций: 6
N = 21980, комбинаций: 6
N = 24417, комбинаций: 6
N = 27028, комбинаций: 6
N = 29819, комбинаций: 6
N = 32796, комбинаций: 6
N = 35965, комбинаций: 12
N = 39332, комбинаций: 6
N = 42903, комбинаций: 12
N = 46684, комбинаций: 18
N = 129, комбинаций: 3
N = 190, комбинаций: 6
N = 281, комбинаций: 6
N = 408, комбинаций: 6
N = 577, комбинаций: 6
N = 794, комбинаций: 6
N = 1065, комбинаций: 6
N = 1396, комбинаций: 6
N = 1793, комбинаций: 12
N = 2262, комбинаций: 6
N = 2809, комбинаций: 6
N = 3440, комбинаций: 6
N = 4161, комбинаций: 6
N = 4978, комбинаций: 6
N = 5897, комбинаций: 6
N = 6924, комбинаций: 6
N = 8065, комбинаций: 6
N = 9326, комбинаций: 6
N = 10713, комбинаций: 6
N = 12232, комбинаций: 6
N = 13889, комбинаций: 6
N = 15690, комбинаций: 6
N = 17641, комбинаций: 6
N = 19748, комбинаций: 12
N = 22017, комбинаций: 6
N = 24454, комбинаций: 6
N = 27065, комбинаций: 6
N = 29856, комбинаций: 6
N = 32833, комбинаций: 12
N = 36002, комбинаций: 6
N = 39369, комбинаций: 6
N = 42940, комбинаций: 6
N = 46721, комбинаций: 12
N = 251, комбинаций: 9
N = 342, комбинаций: 6
N = 469, комбинаций: 6
N = 638, комбинаций: 6
N = 1126, комбинаций: 6
N = 1457, комбинаций: 12
